"AGE","SEX","MARRIED","PROPERTY_COMPEN","PARENT_INC","COLLEGE","VIOLENT","STRIKE","FORCE","AGE_SQUARE"
41,0,0,0,"2","0",0,0,1,1681
44,0,0,1,"2","1",0,0,1,1936
44,0,1,1,"4","0",0,1,0,1936
43,1,1,1,"4","1",0,1,0,1849
37,0,1,1,"3","1",0,1,0,1369
41,0,0,1,"3","1",0,1,0,1681
45,1,1,1,"2","0",0,0,1,2025
45,1,1,0,"3","1",0,0,1,2025
37,1,1,0,"3","1",0,0,0,1369
35,1,0,0,"3","1",0,0,0,1225
44,0,0,0,"2","0",0,0,1,1936
42,0,1,0,"3","0",0,0,1,1764
45,1,1,0,"4","0",0,0,1,2025
41,1,1,0,"4","0",0,0,1,1681
40,0,1,0,"3","0",0,0,1,1600
46,0,1,0,"3","1",0,0,1,2116
36,1,1,0,"4","1",0,0,1,1296
46,1,1,1,"3","0",0,1,1,2116
45,1,1,1,"3","0",0,1,1,2025
42,0,1,1,"2","0",0,1,1,1764
46,0,1,0,"4","1",0,0,1,2116
44,1,0,0,"3","1",0,0,1,1936
38,0,0,0,"2","0",0,0,1,1444
30,1,0,0,"2","1",0,0,1,900
46,1,1,0,"4","0",0,1,1,2116
43,1,1,0,"3","1",0,1,1,1849
42,0,1,0,"4","0",0,1,1,1764
46,0,1,0,"2","0",1,1,0,2116
41,0,1,0,"3","0",0,0,0,1681
45,0,1,1,"4","0",0,0,1,2025
43,0,1,1,"2","0",0,0,1,1849
41,0,1,1,"3","0",0,0,1,1681
34,1,1,1,"2","0",0,0,0,1156
44,1,1,1,"4","0",0,0,1,1936
35,1,1,1,"4","1",1,1,0,1225
31,1,1,0,"3","1",0,0,0,961
41,0,0,1,"2","0",0,0,1,1681
39,0,1,1,"4","1",0,0,1,1521
27,0,1,0,"3","0",0,1,1,729
23,1,1,0,"2","0",0,1,1,529
42,1,1,0,"2","0",0,0,1,1764
35,0,0,0,"3","0",0,0,1,1225
42,0,1,0,"3","1",0,0,1,1764
38,1,1,0,"3","1",0,0,1,1444
33,0,1,0,"3","1",0,0,1,1089
46,1,1,1,"3","1",1,1,0,2116
37,0,1,1,"2","0",1,1,0,1369
27,0,1,1,"2","0",1,1,0,729
46,1,1,1,"2","0",0,0,1,2116
39,1,1,1,"2","1",1,0,0,1521
36,0,1,1,"2","0",1,0,0,1296
33,1,1,1,"3","1",1,0,0,1089
31,0,0,1,"2","1",1,0,0,961
25,1,0,1,"2","1",1,0,0,625
23,1,0,1,"2","0",1,0,0,529
45,0,1,0,"3","0",0,0,1,2025
42,0,1,0,"3","0",0,0,1,1764
38,0,1,1,"1","1",0,0,0,1444
46,1,1,1,"4","1",0,1,0,2116
43,0,1,1,"3","0",0,1,0,1849
40,0,1,1,"3","1",0,1,0,1600
44,0,1,1,"3","0",0,1,0,1936
43,0,1,1,"3","0",0,1,0,1849
39,0,1,1,"3","1",0,1,0,1521
45,0,1,1,"4","1",0,1,0,2025
38,0,1,1,"3","0",0,1,0,1444
44,0,1,1,"4","1",0,1,0,1936
43,0,1,1,"3","1",0,1,0,1849
41,1,0,1,"2","0",0,1,0,1681
38,0,1,0,"3","0",0,0,0,1444
36,1,1,0,"3","0",0,0,0,1296
40,0,1,0,"4","0",0,1,0,1600
40,1,1,0,"3","0",0,1,0,1600
42,0,1,1,"3","0",0,1,1,1764
42,1,1,1,"2","0",0,1,1,1764
40,0,1,1,"3","0",0,1,1,1600
39,0,1,1,"2","0",0,1,1,1521
